round_id,server_seed,client_seed,nonce,combined_hash,hex52,r_ratio,crash_multiplier,instant_crash,house_edge
17,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,17,5513254196da1f671968bae347b49dbc6dcecf0ea5b6f43656a2c5992aa561e1,5513254196da1,0.33232339,1.45,0,0.03
18,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,18,b46c36f28e7eddabbe241f71d8aca27a4c57b827b820a1388433ce760efa7a3f,b46c36f28e7ed,0.70477622,3.28,0,0.03
19,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,19,29a2fec0336e3bba6f1bdfd40a4a92b3d8d5ce21482c43db9e3b9eee8b7d186d,29a2fec0336e3,0.16264336,1.15,0,0.03
20,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,20,f381e858d7324d68923ebc830a287cf29c0412523fc0d825633d6cc671cb2c9b,f381e858d7324,0.95120098,19.87,0,0.03
21,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,21,d81d74119c23b745f9af3948ce4d09b19a4948ebf960e89875fc142690b80de5,d81d74119c23b,0.84419942,6.22,0,0.03
22,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,22,465e2ece935f614841d7f55f8c43ad849e1a9b6874b6510cb042f69aff294e8e,465e2ece935f6,0.27487462,1.33,0,0.03
23,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,23,551323f14c33d9319dec95c4009ab81d6d941ba64b97ae2610c9068cb0937f4e,551323f14c33d,0.33232331,1.45,0,0.03
24,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,24,7fcc694b7dc59ae6e62de0b373f6c9ea0acc8d13aba8e41e714c56639835e2ca,7fcc694b7dc59,0.49921282,1.93,0,0.03
25,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,25,93b1b419ff4e8ee42cc22364a62f496e5e3b845c70ab03065c42a4472dd83729,93b1b419ff4e8,0.57693029,2.29,0,0.03
26,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,26,434fd512112597b565b8ff225b8cd8d9818415f455450f0be03b765edbc9a5dd,434fd51211259,0.26293689,1.31,0,0.03
27,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,27,46c8db5c4f9926aadc19204451ab5e9f3b14811fa480253bc60e304a093ef175,46c8db5c4f992,0.27650233,1.34,0,0.03
28,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,28,ae40a14a269167a6f2bc8a73be2f9bf419b60f0949765268dc2bd8f6e694ecb6,ae40a14a26916,0.68067368,3.03,0,0.03
29,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,29,3704783c7fe978ccfadb8485070bb8ecfd68b4a79a61cce4f9c55ecf0779e9f1,3704783c7fe97,0.21491195,1.23,0,0.03
30,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,30,9a5c6a1bba7af517ecd9a0815ee496997e61a10b1cd2e9c214ab739ea08d08b5,9a5c6a1bba7af,0.60297263,2.44,0,0.03
31,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,31,881786eec0a1aa8dc78d32e9cbf1ea18710cad5aa992b5e065099ea7a7a0d2db,881786eec0a1a,0.53160899,2.07,0,0.03
32,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,32,f113616174c6c54adbfb1e2c5c404c82e8efe72233f81d98e09afa93e87e80c5,f113616174c6c,0.94170197,16.63,0,0.03
33,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,33,0cf9a98931cb56f35bd1502ab52d90ea0cdf7c56d7aa68415ee4fe85f4fc0270,0cf9a98931cb5,0.05068454,1.02,0,0.03
34,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,34,13f596394f30c5a80e1350523a5d42d66faf78706f2894c51436c8b329438f70,13f596394f30c,0.07796611,1.05,0,0.03
35,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,35,27ef99596b23b5ac3fbef10aac2a15b4515123cd2d987fd87e8b9f78a79c6b11,27ef99596b23b,0.15599974,1.14,0,0.03
36,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,36,73a3012241519eb8b2f3ed1b7f5bb08a3c1528b6eebaf8f7d8eb187e8444604c,73a3012241519,0.45170600,1.76,0,0.03
37,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,37,34214b14e8367879a6b1d523505fbb955f3dbd5d84147ff7964ab3cf703801c7,34214b14e8367,0.20363302,1.21,0,0.03
38,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,38,2fe2fd08e7e08ebd5892f2cae00a6c5aa9a3733e7b88ed44672544596461def8,2fe2fd08e7e08,0.18705732,1.19,0,0.03
39,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,39,6a2460431f4eab9dae1f159d4099c274c05c55d961fa640b5e7a71d531b20506,6a2460431f4ea,0.41461755,1.65,0,0.03
40,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,40,a456c53113e329e038735cc3acb260d601fcc585219f8ac49068fffd8da45a0e,a456c53113e32,0.64194901,2.70,0,0.03
41,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,41,41d49086dd09a02adb417d5a575241824a0bd192d6837baa51bd141a668e1d3b,41d49086dd09a,0.25714973,1.30,0,0.03
42,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,42,bcdb017948e0274d76c67fb216ac75e91ee00380fcaaad70a30948ed7f450da3,bcdb017948e02,0.73771676,3.69,0,0.03
43,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,43,7d8fc7a9eac3171d09d71bab2b63608902c1698b6a31c8a69fef7f38a13247fd,7d8fc7a9eac31,0.49047516,1.90,0,0.03
44,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,44,2873e4f136a32ea5beb4ebef625d18e3222d378bb7b2f762a10c6c8fb1924d72,2873e4f136a32,0.15801841,1.15,0,0.03
45,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,45,30497355b1485d90075157b62a0f3d1a0da03d30fb364990216555a56b5cb9ef,30497355b1485,0.18862077,1.19,0,0.03
46,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,46,57bb0308e340cfae951f3b2f00bb5cd1a596c07c1e414a5181d6d929a951f1dc,57bb0308e340c,0.34269732,1.47,0,0.03
47,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,47,95aae81d885f5b869af4738924df97f8d377d6cf23f7e7642866c28e439ef43d,95aae81d885f5,0.58463908,2.33,0,0.03
48,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,48,9b896fa87d07dc1389274d9c96f6469f8f745532ef0d052920de138adf7e2126,9b896fa87d07d,0.60756586,2.47,0,0.03
49,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,49,449a267070a927dac9cbc166c2f8a39f0a7a612ed25f06b69285ba0c0e1e6074,449a267070a92,0.26797714,1.32,0,0.03
50,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,50,e7555bd8fe248b91f3115e752899fb53a390b65acefbb9622abd70fd7e54f371,e7555bd8fe248,0.90364622,10.06,0,0.03
51,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,51,1b4813ccba7b6b7e81ac647975a2d5a5c481249272fb672399a6b3d1e45607a9,1b4813ccba7b6,0.10656856,1.08,0,0.03
52,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,52,5e809a196c55c9cb62b6b2e38d8afb1ebc36c5f8db45f3307bfaeb6932d66e48,5e809a196c55c,0.36914981,1.53,0,0.03
53,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,53,75b0c40caf906467c654b7a589432b177505a2c431880a6cb21cfb1dea71bd23,75b0c40caf906,0.45972848,1.79,0,0.03
54,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,54,377b3783aedf4cb6039c3c44814e420034a7b114b5ede0854091ff7aa57d57c0,377b3783aedf4,0.21672389,1.23,0,0.03
55,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,55,0502188d43d3504969d0e1f6fc75bca0659d29fab80565b3615f5c6802b510ff,0502188d43d35,0.01956323,1.00,1,0.03
56,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,56,db136862c4f7f6142cddebc8f56cbe376f70c0e8f0a8d6a5291b545048c3a14c,db136862c4f7f,0.85576489,6.72,0,0.03
57,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,57,fb8963327c6ccfefe584f4b21f10506603c238a05a5f91c9c2e3815d3f0402d7,fb8963327c6cc,0.98256512,55.63,0,0.03
58,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,58,42b5877f0bd703f7026341ec0707b117f7f9215b398f29d024f1ccdda38e25b3,42b5877f0bd70,0.26058242,1.31,0,0.03
59,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,59,03c1a41eee00f74d3cc4c798504310c6d1ab65386e0f5de756d54fd2fbb30a5e,03c1a41eee00f,0.01467348,1.00,1,0.03
60,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,60,be60fadbda10e97658d4dc774b5c0f878ef0b7393fdcf3a980bb409c3c02f301,be60fadbda10e,0.74366730,3.78,0,0.03
61,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,61,a556906d48bc6a9b4e728a7717f0a101762b972c217a1ac2bfe3c522c5a90104,a556906d48bc6,0.64585211,2.73,0,0.03
62,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,62,a5c19b5f8f42778a76bb6ad7b8a964a84e65b861f12681a6e90c3b82ad2c9ba1,a5c19b5f8f427,0.64748546,2.75,0,0.03
63,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,63,82b79a9e731c5d38d8433df2b3348dd9c422df13184c96258c13851c1a5bb167,82b79a9e731c5,0.51061407,1.98,0,0.03
64,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,64,faaf0fc0ae9d2e2d46cfd5f010600be88f001e0c1d495d7c6fcdbb7c64bec767,faaf0fc0ae9d2,0.97923373,46.71,0,0.03
65,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,65,0dd2a4cbad9fa5f35588414447877ec2f0b58ff7baf98ca6bda73d44924d4c4d,0dd2a4cbad9fa,0.05399542,1.02,0,0.03
66,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,66,1c12eb52c8edfa16382d0233aabd505f7effd08b43c03129064f85732cdc3de1,1c12eb52c8edf,0.10966368,1.08,0,0.03
67,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,67,e7999d13c5ca553277ab2022153ceefc31bb7da35394de620f37e07d1af20e30,e7999d13c5ca5,0.90468771,10.17,0,0.03
68,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,68,3525c57144825d27accea569fd2ca10dd742ae92bbf9d58b14a650385d5a9579,3525c57144825,0.20760759,1.22,0,0.03
69,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,69,b1fa6e5c96d4a7d81dee0dbdad80501ac39e141401d09335314ba55e8ddb4bbb,b1fa6e5c96d4a,0.69522753,3.18,0,0.03
70,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,70,ef60c965c02be996d8e8b0d311a14f5eea352c40faea6f169078591e2a739b00,ef60c965c02be,0.93507060,14.93,0,0.03
71,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,71,14a6f834744ef00bf693c3ede7ed51f6b45f7c3ae2f026ba10ace24446c07035,14a6f834744ef,0.08067275,1.05,0,0.03
72,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,72,6b03ca31aa35691f93b28467d31b4690ea7a61818cf3204ec7ca64b9765657dd,6b03ca31aa356,0.41802658,1.66,0,0.03
73,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,73,25e7355fed97d4e8e395ac3a46acad5260616f6b6e598bed169ebbaccef7df99,25e7355fed97d,0.14805921,1.13,0,0.03
74,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,74,ac6244e33f1bd6e4ccd5f2a2faac9425bf14fde00afdc463c162aed0f6e24d40,ac6244e33f1bd,0.67337447,2.96,0,0.03
75,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,75,c871bf083b0b51cc3cdcc41b568dddb2b6ae34f64a0739750f6ca72bb53880f1,c871bf083b0b5,0.78298563,4.46,0,0.03
76,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,76,b329294cbcbd98890f40a0a50322aa415e5ae71beedd2bf7fd80b83e6978c6c6,b329294cbcbd9,0.69984682,3.23,0,0.03
77,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,77,873a9b877c8264da9370e7c9f87354e7c0f86d094f43e21351d10b996ba9402e,873a9b877c826,0.52823803,2.05,0,0.03
78,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,78,d1659b18ca2bdca1b00bf29981082057b41b22b8737615cac39e73b8c4079219,d1659b18ca2bd,0.81795663,5.32,0,0.03
79,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,79,8fd3bb1d92012b7782412ef8d5a3283d762edb968228135163ff55b039745309,8fd3bb1d92012,0.56182451,2.21,0,0.03
80,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,80,786473727dd4d625fb9558351078454629f814a9fcce915afde2b854b5aae0fe,786473727dd4d,0.47028276,1.83,0,0.03
81,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,81,4a63a65700c189b981a04611e0d123ad847415140781338cf276d38dd0ab77d7,4a63a65700c18,0.29058303,1.36,0,0.03
82,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,82,7c463262954afcb3d3fe3f19ce518826b649820f979dc567c3bb8850b1b9bde2,7c463262954af,0.48544612,1.88,0,0.03
83,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,83,42711e399a3046255927787cb2805fe50e6533606ed2b04c22c3b4b81648f040,42711e399a304,0.25953854,1.30,0,0.03
84,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,84,81e063c501f5df25b938b0a7cf82ac9b09341622cb9887a51477b6a9e4cccb73,81e063c501f5d,0.50733017,1.96,0,0.03
85,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,85,01cece7829594fb1e269248a9ba3d190bae71c04b0568f648714a3afa12c078a,01cece7829594,0.00706187,1.00,1,0.03
86,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,86,053bc3528df75f342db53e22bb040a4ea679cf2ac51a6e698244f263dbd04f3a,053bc3528df75,0.02044316,1.00,1,0.03
87,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,87,3f05070ce106379a929cd252d7d0c04995bbd3fa107e332cc5c4b29c90e5da3e,3f05070ce1063,0.24617046,1.28,0,0.03
88,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,88,56f0f011e982ca82d9424c7f8efc54c2a0d85ce0ac18db7cf05b815dd92e1609,56f0f011e982c,0.33961392,1.46,0,0.03
89,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,89,8c5a3f5e126f0c708271bafa51ef6bad1a249489a0acf8eb4b6e41394829a39e,8c5a3f5e126f0,0.54825207,2.14,0,0.03
90,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,90,366b4524231408b0b4531d621554e5445de0fbbff549425a8f8714a29c40c7db,366b452423140,0.21257431,1.23,0,0.03
91,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,91,c5a60b198fc25b71e09dc57502b48c1437f69cb4d114c52c94f6715490bd4964,c5a60b198fc25,0.77206487,4.25,0,0.03
92,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,92,6deea751dad5d1be077dd1c12da49e61390651cfeabb9074e90b46f011e42421,6deea751dad5d,0.42942281,1.70,0,0.03
93,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,93,52bcae686b95760ad8b01ddac9f815b84de1b1d8647846271c2f33090d70753f,52bcae686b957,0.32319155,1.43,0,0.03
94,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,94,588b4af8caa275fb890fd8a3dcaebae072d53d1cd7d2e9ddd623d155debd98bc,588b4af8caa27,0.34587544,1.48,0,0.03
95,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,95,23f7011fdcc7b130d50bf6ab219ccd7f740d44913149f2db49821e85dbc66d45,23f7011fdcc7b,0.14048774,1.12,0,0.03
96,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,96,9d001a0eca96605363ea31fb10a95c92673d60a7e70447e11e2c3f2823871ccf,9d001a0eca966,0.61328280,2.50,0,0.03
97,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,97,3b6d99bb896f9b5270b99acb90cb56f7955bad87959a86d6984d86a798e71b98,3b6d99bb896f9,0.23214112,1.26,0,0.03
98,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,98,1b15254c0eeba674d2569ce527064e43dbd935bd3cddc765e9c259925723f2fa,1b15254c0eeba,0.10579141,1.08,0,0.03
99,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,99,ca5b32449a8e7076dfe0f80de3f3e0be3167a7f3ca2e7705b4c86419411b8c93,ca5b32449a8e7,0.79045405,4.62,0,0.03
100,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,100,eaf87281f6f27d421701602ad2c076e0664b0b6b917f473e539b1bc68ad963be,eaf87281f6f27,0.91785350,11.80,0,0.03
101,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,101,1e726a418c8fe2e4a81aba4cd37dc21d0037884fd17732c37c5b204ce12e2624,1e726a418c8fe,0.11893334,1.10,0,0.03
102,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,102,a6840e4c9ea2f8e5e1d4ea1d31cba1001a437d16f3fe94ed7873ad30618bbd5b,a6840e4c9ea2f,0.65045251,2.77,0,0.03
103,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,103,e0802393755c80c8d2e054e50ff270ec9cb4ed05626e2fd4b9fe81ab5424e3a0,e0802393755c8,0.87695525,7.88,0,0.03
104,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,104,fa7c7c37d4dc27bddc3700e5c475a5f30fa436f2b6e881c34eeac67141214249,fa7c7c37d4dc2,0.97846199,45.03,0,0.03
105,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,105,23b34c3622f11f2042c37b0e2669ecede5d1d51940583d38c46e0d57f9489f5b,23b34c3622f11,0.13945462,1.12,0,0.03
106,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,106,f629d1aca930ca48796ea9bbf8d9d7cc9728a9f2e230df380286d3dded44c030,f629d1aca930c,0.96157561,25.24,0,0.03
107,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,107,1695d3fd6ad13e2f5675c9a58dcd829d660aac42fcbdd8e4768aa5e6489bc092,1695d3fd6ad13,0.08822370,1.06,0,0.03
108,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,108,fad862d5380772c8cd410bc98c049b33cfa19461045adc4c50872ae2b6014e28,fad862d538077,0.97986429,48.17,0,0.03
109,d82f7c04e286e9b109b8f729f345861b58a2d1297e6b528a49c916298516e874,crashmath_empirical_verification_2026,109,315c935e6b84d13336c41c1035e00f06f0224dc57696c9e3cd396ccdc36f0f26,315c935e6b84d,0.19281884,1.20,0,0.03
